,Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
25,Male,20.0,1.6,50.0,yes,no,2.0,4.0,Frequently,yes,2.0,no,3.0,2.0,no,Public_Transportation,Normal_Weight
28,Male,19.0,1.75,76.0,yes,yes,3.0,3.0,Sometimes,no,2.0,yes,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight
48,Female,20.0,1.66,60.0,yes,no,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Walking,Normal_Weight
51,Female,20.0,1.5,44.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight
58,Female,17.0,1.65,67.0,yes,yes,3.0,1.0,Sometimes,no,2.0,no,1.0,1.0,no,Walking,Normal_Weight
59,Male,20.0,1.76,55.0,yes,yes,2.0,4.0,Sometimes,no,3.0,no,2.0,2.0,no,Public_Transportation,Insufficient_Weight
61,Male,20.0,1.65,58.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight
73,Male,19.0,1.85,65.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,2.0,1.0,Sometimes,Bike,Normal_Weight
80,Female,19.0,1.63,58.0,no,no,3.0,3.0,Sometimes,no,2.0,yes,0.0,0.0,no,Public_Transportation,Normal_Weight
83,Female,19.0,1.6,45.0,no,no,3.0,3.0,no,no,3.0,yes,2.0,0.0,no,Walking,Insufficient_Weight
87,Male,19.0,1.82,87.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I
91,Female,20.0,1.61,64.0,yes,no,3.0,3.0,Always,no,2.0,yes,0.0,1.0,Frequently,Public_Transportation,Normal_Weight
93,Female,20.0,1.6,57.0,no,no,3.0,3.0,Always,no,2.0,no,1.0,0.0,no,Walking,Normal_Weight
112,Female,18.0,1.56,51.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
114,Female,19.0,1.61,62.0,yes,yes,3.0,1.0,Frequently,no,2.0,no,1.0,0.0,Frequently,Public_Transportation,Normal_Weight
115,Female,17.0,1.75,57.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight
116,Female,15.0,1.65,86.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,3.0,2.0,no,Walking,Obesity_Type_I
117,Female,17.0,1.7,85.0,yes,no,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_II
119,Female,19.0,1.63,76.0,yes,no,3.0,3.0,Frequently,yes,3.0,no,2.0,1.0,Sometimes,Automobile,Overweight_Level_II
125,Male,18.0,1.75,80.0,yes,yes,2.0,3.0,Always,no,2.0,no,0.0,0.0,Frequently,Public_Transportation,Overweight_Level_I
126,Male,19.0,1.67,68.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
127,Female,19.0,1.65,61.0,no,yes,3.0,1.0,Sometimes,no,3.0,yes,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
128,Male,20.0,1.72,70.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
130,Female,20.0,1.58,53.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
132,Female,19.0,1.65,56.0,yes,yes,3.0,3.0,Frequently,yes,3.0,yes,1.0,2.0,Frequently,Public_Transportation,Normal_Weight
160,Male,20.0,1.83,72.0,yes,no,3.0,3.0,Sometimes,yes,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
167,Male,20.0,1.65,80.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,1.0,2.0,no,Walking,Overweight_Level_II
171,Male,18.0,1.6,58.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
173,Male,18.0,1.74,64.0,no,no,3.0,3.0,Sometimes,no,2.0,yes,0.0,1.0,no,Public_Transportation,Normal_Weight
176,Female,18.0,1.57,48.0,yes,yes,3.0,1.0,Always,no,1.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
180,Female,18.0,1.58,48.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
190,Male,20.0,1.6,56.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
192,Male,20.0,1.83,85.0,yes,no,3.0,3.0,Sometimes,no,3.0,yes,3.0,0.0,Sometimes,Automobile,Overweight_Level_I
193,Male,20.0,1.78,68.0,no,no,2.0,1.0,Frequently,no,3.0,yes,2.0,1.0,no,Public_Transportation,Normal_Weight
195,Male,19.0,1.8,85.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Walking,Overweight_Level_I
198,Female,18.0,1.59,40.0,yes,yes,2.0,1.0,Frequently,no,1.0,no,0.0,2.0,no,Public_Transportation,Insufficient_Weight
206,Male,19.0,1.75,100.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,2.0,0.0,no,Public_Transportation,Obesity_Type_I
210,Male,20.0,1.8,114.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,1.0,no,Public_Transportation,Obesity_Type_II
226,Female,20.0,1.6,50.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Automobile,Normal_Weight
230,Male,20.0,1.9,91.0,yes,yes,3.0,4.0,Sometimes,no,3.0,no,2.0,0.0,Sometimes,Walking,Overweight_Level_I
234,Female,19.0,1.59,49.0,yes,yes,2.0,1.0,no,no,2.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight
235,Female,19.0,1.69,70.0,yes,no,2.0,1.0,no,no,2.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight
237,Female,19.0,1.64,53.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
238,Female,20.0,1.62,53.0,no,yes,3.0,1.0,Sometimes,no,3.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
239,Female,19.0,1.7,64.0,yes,yes,3.0,3.0,no,no,3.0,yes,3.0,1.0,no,Public_Transportation,Normal_Weight
240,Female,17.0,1.63,65.0,no,yes,2.0,1.0,Sometimes,no,3.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
242,Female,20.0,1.63,64.0,yes,yes,1.0,3.0,Always,no,2.0,no,0.0,2.0,no,Automobile,Normal_Weight
245,Female,20.0,1.64,49.0,no,no,3.0,3.0,Sometimes,yes,2.0,no,2.0,1.0,Sometimes,Automobile,Insufficient_Weight
246,Female,20.0,1.57,60.0,no,yes,3.0,3.0,Sometimes,no,3.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight
247,Female,20.0,1.62,52.0,no,yes,3.0,3.0,Frequently,no,1.0,no,3.0,1.0,no,Automobile,Normal_Weight
250,Female,20.0,1.65,75.0,yes,yes,3.0,1.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_II
251,Male,20.0,1.67,78.0,yes,no,2.0,1.0,Sometimes,no,3.0,no,0.0,0.0,Frequently,Automobile,Overweight_Level_II
255,Male,19.0,1.78,81.0,yes,no,1.0,3.0,Sometimes,no,2.0,no,3.0,0.0,no,Bike,Overweight_Level_I
256,Male,18.0,1.75,85.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II
257,Male,19.0,1.85,115.0,no,no,2.0,3.0,Sometimes,no,3.0,yes,1.0,2.0,no,Public_Transportation,Obesity_Type_I
258,Male,18.0,1.7,80.0,no,no,3.0,1.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_II
259,Female,18.0,1.67,91.0,yes,yes,1.0,3.0,Frequently,no,1.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
262,Male,18.0,1.74,70.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
264,Male,18.0,1.87,67.0,yes,yes,3.0,3.0,Frequently,no,3.0,yes,1.0,1.0,Sometimes,Automobile,Normal_Weight
265,Male,18.0,1.7,50.0,no,yes,1.0,3.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
268,Male,17.0,1.67,60.0,no,no,2.0,4.0,Always,no,2.0,no,0.0,2.0,no,Public_Transportation,Normal_Weight
271,Female,19.0,1.5,50.0,no,yes,2.0,3.0,Frequently,no,1.0,no,0.0,2.0,Sometimes,Public_Transportation,Normal_Weight
272,Male,18.0,1.7,60.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,no,Public_Transportation,Normal_Weight
275,Female,18.0,1.5,50.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight
276,Male,16.0,1.67,50.0,yes,yes,2.0,1.0,Frequently,no,3.0,no,1.0,0.0,no,Public_Transportation,Insufficient_Weight
279,Male,18.0,1.79,52.0,no,no,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
281,Male,18.0,1.7,55.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
282,Female,18.0,1.62,55.0,yes,yes,2.0,3.0,Frequently,no,1.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
283,Male,17.0,1.69,60.0,no,no,2.0,3.0,Sometimes,no,3.0,no,2.0,1.0,Sometimes,Walking,Normal_Weight
284,Male,20.0,1.77,70.0,yes,yes,1.0,1.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
287,Female,18.0,1.6,58.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,0.0,no,Public_Transportation,Normal_Weight
288,Female,17.0,1.56,51.0,no,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,2.0,no,Public_Transportation,Normal_Weight
289,Male,19.0,1.88,79.0,no,no,2.0,3.0,Sometimes,no,3.0,no,3.0,0.0,Sometimes,Automobile,Normal_Weight
290,Male,16.0,1.82,71.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
291,Male,17.0,1.8,58.0,no,yes,2.0,3.0,Frequently,no,2.0,no,2.0,1.0,no,Walking,Insufficient_Weight
293,Male,19.0,1.82,75.0,yes,no,2.0,3.0,Frequently,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
294,Male,18.0,1.86,110.0,yes,yes,2.0,1.0,Sometimes,yes,2.0,no,1.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I
295,Female,16.0,1.66,58.0,no,no,2.0,1.0,Sometimes,no,1.0,no,0.0,1.0,no,Walking,Normal_Weight
298,Male,18.0,1.8,80.0,yes,yes,2.0,3.0,Frequently,no,1.0,no,0.0,1.0,Frequently,Public_Transportation,Normal_Weight
301,Male,18.0,1.72,55.0,no,yes,2.0,4.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
302,Male,16.0,1.84,45.0,yes,yes,3.0,3.0,Always,no,3.0,no,3.0,2.0,Sometimes,Walking,Insufficient_Weight
303,Female,16.0,1.57,49.0,no,yes,2.0,4.0,Always,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight
304,Male,20.0,1.8,85.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_I
308,Male,20.0,1.8,75.0,no,yes,3.0,4.0,Always,no,3.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight
309,Female,16.0,1.66,58.0,no,no,2.0,1.0,Sometimes,no,1.0,no,0.0,1.0,no,Walking,Normal_Weight
310,Male,17.0,1.79,57.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,2.0,1.0,no,Public_Transportation,Insufficient_Weight
311,Male,17.0,1.72,62.0,no,yes,2.0,3.0,Always,no,2.0,no,3.0,1.0,no,Public_Transportation,Normal_Weight
312,Female,16.0,1.6,57.0,no,yes,3.0,3.0,Sometimes,no,1.0,no,3.0,0.0,no,Public_Transportation,Normal_Weight
313,Male,17.0,1.66,56.0,yes,yes,1.0,3.0,Always,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
317,Male,18.0,1.75,70.0,no,yes,3.0,4.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
323,Male,18.0,1.8,72.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Automobile,Normal_Weight
326,Male,18.0,1.7,55.3,yes,yes,3.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight
328,Male,19.0,1.74,74.0,yes,no,3.0,1.0,Sometimes,no,3.0,no,3.0,1.0,Sometimes,Walking,Normal_Weight
329,Female,19.0,1.65,82.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
330,Female,17.0,1.8,50.0,no,yes,3.0,4.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
331,Male,17.0,1.74,56.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,no,Public_Transportation,Normal_Weight
334,Female,18.0,1.45,53.0,no,yes,2.0,3.0,Frequently,no,2.0,yes,1.0,2.0,Frequently,Public_Transportation,Overweight_Level_I
335,Male,19.0,1.7,50.0,no,yes,1.0,4.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
336,Male,20.0,1.7,65.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight
337,Male,18.0,1.78,64.4,yes,yes,3.0,3.0,Frequently,no,2.0,no,3.0,2.0,no,Walking,Normal_Weight
338,Female,17.0,1.6,65.0,no,yes,3.0,1.0,Sometimes,no,2.0,yes,1.0,2.0,Sometimes,Public_Transportation,Overweight_Level_I
339,Female,19.0,1.53,42.0,no,no,2.0,3.0,Sometimes,no,1.0,yes,2.0,0.0,Frequently,Public_Transportation,Insufficient_Weight
341,Male,20.0,1.6,50.0,no,no,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
344,Male,18.0,1.87,173.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Obesity_Type_III
345,Male,17.0,1.7,55.0,no,yes,3.0,3.0,Always,no,2.0,no,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight
347,Male,17.0,1.8,97.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,1.0,1.0,Sometimes,Walking,Overweight_Level_II
348,Male,18.0,1.82,80.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,2.0,no,Walking,Normal_Weight
349,Male,20.0,1.98,125.0,yes,yes,2.0,3.0,Always,no,3.0,no,1.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
350,Male,17.0,1.75,70.0,yes,no,2.0,3.0,Sometimes,no,1.0,no,3.0,2.0,Sometimes,Walking,Normal_Weight
352,Female,17.0,1.6,53.0,no,yes,1.0,3.0,Sometimes,no,1.0,no,2.0,2.0,Sometimes,Walking,Normal_Weight
354,Female,17.0,1.6,59.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,2.0,no,Public_Transportation,Normal_Weight
356,Male,17.0,1.9,60.0,no,no,3.0,3.0,Sometimes,no,2.0,no,3.0,1.0,no,Walking,Insufficient_Weight
357,Female,17.0,1.7,56.0,yes,yes,1.0,3.0,Sometimes,no,1.0,no,1.0,1.0,no,Automobile,Normal_Weight
360,Male,20.0,1.87,75.0,no,yes,2.0,3.0,Frequently,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
363,Male,19.0,1.8,80.0,no,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
369,Male,20.0,1.58,74.0,no,no,3.0,3.0,Frequently,no,2.0,no,3.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
370,Male,19.0,1.8,60.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
371,Male,17.0,1.62,69.0,yes,yes,3.0,1.0,Always,no,2.0,yes,1.0,2.0,Sometimes,Public_Transportation,Overweight_Level_I
372,Female,18.0,1.62,58.0,no,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,2.0,no,Automobile,Normal_Weight
374,Male,18.0,1.76,70.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Automobile,Normal_Weight
377,Male,18.0,1.76,68.0,no,no,2.0,4.0,Frequently,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
378,Male,18.0,1.73,70.0,no,yes,3.0,3.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
379,Male,17.0,1.7,70.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Walking,Normal_Weight
383,Male,17.0,1.7,98.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Automobile,Obesity_Type_I
384,Female,18.0,1.6,60.0,yes,yes,3.0,1.0,Sometimes,no,1.0,yes,0.0,2.0,no,Walking,Normal_Weight
385,Female,16.0,1.55,45.0,no,yes,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
386,Female,18.0,1.59,53.0,no,no,1.0,3.0,Sometimes,no,1.0,no,1.0,2.0,no,Public_Transportation,Normal_Weight
388,Male,18.0,1.78,108.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,1.0,0.0,no,Public_Transportation,Obesity_Type_I
389,Female,16.0,1.61,65.0,yes,yes,1.0,1.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I
391,Female,18.0,1.7,50.0,no,no,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Walking,Insufficient_Weight
392,Male,18.0,1.76,69.5,no,no,3.0,3.0,Frequently,no,3.0,no,2.0,2.0,no,Public_Transportation,Normal_Weight
393,Male,18.0,1.7,78.0,no,yes,1.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
394,Female,17.0,1.53,55.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight
395,Female,20.0,1.54,39.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,3.0,2.0,Sometimes,Public_Transportation,Insufficient_Weight
397,Male,20.0,1.66,60.0,no,yes,2.0,4.0,Frequently,no,3.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight
400,Male,18.0,1.65,70.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I
405,Male,18.0,1.74,86.0,no,no,3.0,3.0,Sometimes,no,2.0,no,3.0,0.0,no,Public_Transportation,Overweight_Level_II
407,Female,19.0,1.51,59.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,1.0,2.0,Sometimes,Walking,Overweight_Level_I
408,Male,20.0,1.81,79.0,yes,no,3.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
410,Male,20.0,1.83,66.0,no,no,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
411,Female,20.0,1.6,65.0,no,no,3.0,3.0,Sometimes,no,2.0,yes,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
415,Male,14.0,1.71,72.0,yes,yes,3.0,3.0,Sometimes,no,3.0,no,2.0,1.0,no,Walking,Normal_Weight
417,Male,18.0,1.77,87.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Frequently,Public_Transportation,Overweight_Level_II
418,Male,18.0,1.7,90.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
420,Male,18.0,1.85,60.0,yes,yes,3.0,4.0,Sometimes,no,2.0,yes,2.0,0.0,Sometimes,Automobile,Insufficient_Weight
421,Male,18.0,1.84,60.0,yes,yes,3.0,4.0,Sometimes,no,2.0,yes,2.0,0.0,Sometimes,Automobile,Insufficient_Weight
422,Male,19.0,1.75,58.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Bike,Normal_Weight
425,Female,19.0,1.61,53.8,yes,yes,2.0,3.0,Always,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
427,Female,20.0,1.67,60.0,no,yes,3.0,3.0,no,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight
430,Male,18.0,1.65,85.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
431,Female,18.0,1.6,55.0,no,yes,2.0,4.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight
432,Male,19.0,1.8,70.0,no,yes,3.0,3.0,Frequently,no,1.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight
433,Female,18.0,1.64,59.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
434,Male,19.0,1.89,87.0,no,yes,2.0,4.0,Frequently,no,2.0,no,3.0,1.0,Frequently,Automobile,Normal_Weight
435,Female,19.0,1.76,80.0,yes,yes,2.0,1.0,Sometimes,no,3.0,no,3.0,1.0,no,Public_Transportation,Overweight_Level_I
436,Female,18.0,1.56,55.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Frequently,Automobile,Normal_Weight
437,Female,18.0,1.6,56.0,yes,yes,2.0,1.0,Always,no,2.0,no,1.0,0.0,Sometimes,Walking,Normal_Weight
438,Female,19.0,1.67,64.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Automobile,Normal_Weight
439,Female,19.0,1.6,60.0,no,yes,2.0,3.0,Frequently,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight
440,Female,18.0,1.55,56.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Automobile,Normal_Weight
441,Female,18.0,1.55,50.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,1.0,2.0,no,Public_Transportation,Normal_Weight
443,Male,18.0,1.72,53.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Insufficient_Weight
444,Male,19.0,1.7,60.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight
445,Female,19.0,1.51,45.0,no,yes,2.0,4.0,Sometimes,no,1.0,no,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight
446,Male,19.0,1.83,82.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight
447,Male,19.0,1.8,87.0,yes,yes,2.0,4.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_I
449,Female,18.0,1.63,63.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,2.0,2.0,Sometimes,Public_Transportation,Normal_Weight
450,Male,19.0,1.71,71.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
451,Male,19.0,1.7,65.0,yes,no,2.0,3.0,Frequently,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
453,Female,18.0,1.62,50.0,no,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight
454,Female,20.0,1.68,68.0,no,yes,3.0,1.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
455,Male,18.0,1.85,66.0,no,yes,2.0,3.0,Frequently,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
457,Female,19.0,1.5,45.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
458,Male,19.0,1.69,60.0,no,yes,2.0,3.0,Always,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
459,Male,19.0,1.76,79.0,yes,yes,2.0,3.0,Frequently,no,3.0,no,1.0,2.0,Frequently,Public_Transportation,Overweight_Level_I
460,Female,18.0,1.62,55.0,yes,yes,2.0,3.0,Frequently,no,1.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight
